HEAD,HANDL,HANDR
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728169;0.940198;1.016039;-0.2384813;-0.5386319;-0.3214953;0.7413792
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728169;0.940198;1.016039;-0.2384813;-0.5386319;-0.3214953;0.7413792
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384812;-0.5386319;-0.3214952;0.7413793
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384812;-0.5386319;-0.3214951;0.7413793
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728169;0.9401981;1.016039;-0.2384809;-0.5386321;-0.3214952;0.7413793
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384811;-0.5386319;-0.321495;0.7413794
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384811;-0.5386319;-0.3214951;0.7413794
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401981;1.016039;-0.2384808;-0.538632;-0.3214951;0.7413794
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384809;-0.5386318;-0.321495;0.7413795
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384807;-0.538632;-0.3214949;0.7413796
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384807;-0.538632;-0.3214949;0.7413796
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384806;-0.538632;-0.3214949;0.7413796
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401981;1.016039;-0.2384803;-0.5386321;-0.321495;0.7413796
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401981;1.016039;-0.2384803;-0.5386321;-0.321495;0.7413796
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401981;1.016039;-0.2384802;-0.5386322;-0.3214949;0.7413796
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401981;1.016039;-0.2384802;-0.538632;-0.321495;0.7413796
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401981;1.016039;-0.2384802;-0.5386321;-0.3214948;0.7413797
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401981;1.016039;-0.2384798;-0.5386323;-0.3214948;0.7413797
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401981;1.016039;-0.2384798;-0.5386322;-0.3214948;0.7413798
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401981;1.016039;-0.2384798;-0.5386322;-0.3214948;0.7413798
